#Aplicación,Importe,Tercero,Nombre Ter.,Texto Libre
2016 0201A 15101 60000,1827800.85,B35115989,PROMOCIONES TERESME S.L.,"3º PLAZO FRACC. EN CUMPLIMIENTO AUTO DEL 15/10/14, PARA LA EJECUC.SENTENCIA DE 24/07/12.EXPTE.EXPROP. TAMARACEITE SUR."
2016 0101G 93300 62500,782.68,B76017912,"MONPEX INOXYLUM, S.L.",ROTULACION DE CARTELERIA SEÑALETICA PARA ENTRADA DE LAS OFICINAS MUNICIPALES DEL METROPOL. PATRIMONIO
2016 0101G 93300 62200,1519.52,A35399179,"SEGURIDAD INTEGRAL CANARIA, S.A.",SUM. E INSTALACIÓN DE ALARMA EN EL CENTRO DE MENORES DE SAN ROQUE. PATRIMONIO.-
2016 0502F 33300 62600,186.18,B35771013,"ASPIRA COMUNICACIONES, S.L.",ADQUISICION DE MICROFONO PARA CONFERENCIAS Y CABLE. D. TAMARACEITE SL LORENZO.
2016 0401D 15320 61900,79588.99,B76006394,"TECNICAS OPERATIVAS CANARIAS, S.L.",CERTIFICACIONES 1 Y 2  OBRAS DE EMERGENCIA  DE CONTENCION DE VIA C/ FRANCISCO HERNANDEZ GUERRA . VIAS Y OBRAS.
2016 0401D 15320 61900,119909.8,B76006394,"TECNICAS OPERATIVAS CANARIAS, S.L.",CERTIFICACIONES 1 Y 2 DE OBRAS DE EMERGENCIA DE CONTENCION DE LA VIA DE LA C/ FRANCISCO HERNANDEZ GUERRA. VIAS Y OBRAS.
2016 0502F 92400 62500,5264.4,B35439223,"GARCITECNIA, S.L.",ADQUISICION DE 6 CARPAS PLEGABLES CON CORTINAS. DISTRITO TAMARACEITE S LORENZO TENOYA.
2016 0402B 16000 61900,3633.17,A35660844,SOCIEDAD MUNICIPAL DE GESTION URBANISTICA DE LAS PALMAS DEG,OBRAS DE REPOSICION DE LA RED DE SANEAMIENTO EN LA ISLETA. HONORARIOS REDACCION DE PROYECTO. AGUAS.
2016 0502E 92400 62500,248,A28017895,"EL CORTE INGLES,S.A.",SUM. UNA PLACA VITROCERAMICA Y MICROONDAS PARA OFFICE DE LOS SERV. UBICADOS EN EL EDIFIC.MPAL. EL CANODROMO.D.CIUDA ALTA
2016 0201A 15101 60000,2445917.09,B35002211,VICENTE ORTUÑO Y COMPAÑIA S.L.,PAGO FRACCIONADO JUSTIPRECIO SEGUNDA RETASACION C/COVADONGA Nº2 P.O. 259/2009;EJEC.8/2015. URBANISMO.-
2016 0201A 15101 60000,299596.41,99999999X,[Anonimizado],PAGO FRACCIONADO REL. A EXPROPIACIÓN CAMPUS UNIVERSITARIO  VEGA DE SAN JOSÉ AUTO 07/05/14.DIF. JUSTIPRECIO P.O.174/2007
2016 0201A 15101 60000,299596.41,99999999X,[Anonimizado],PAGO FRACCIONADO REL. A EXPROPIACIÓN CAMPUS UNIVERSITARIO  VEGA DE SAN JOSÉ AUTO 07/05/14.DIF. JUSTIPRECIO P.O.174/2007
2016 0201A 15101 60000,299596.41,99999999X,[Anonimizado],PAGO FRACCIONADO REL. A EXPROPIACIÓN CAMPUS UNIVERSITARIO  VEGA DE SAN JOSÉ AUTO 07/05/14.DIF. JUSTIPRECIO P.O.174/2007
2016 0201A 15101 60000,299596.41,99999999X,[Anonimizado],PAGO FRACCIONADO REL. A EXPROPIACIÓN CAMPUS UNIVERSITARIO  VEGA DE SAN JOSÉ AUTO 07/05/14.DIF. JUSTIPRECIO P.O.174/2007
2016 0201A 15101 60000,299596.41,99999999X,[Anonimizado],PAGO FRACCIONADO REL. A EXPROPIACIÓN CAMPUS UNIVERSITARIO  VEGA DE SAN JOSÉ AUTO 07/05/14.DIF. JUSTIPRECIO P.O.174/2007
